Player,Team,Draft Year,Yr1 Pos Rk,Yr1 Pos PPG Rk,Yr1 Pos Tm Rk,Yr1 G,Yr1 Opps,Yr1 YTMA/G,Yr1 PPR PPG,Yr1 Rec Dom,Yr1 PPR Pts,Yr1 Snap%,Yr1 Tgts,Yr1 Tgt%,Yr1 Rush Att,Yr1 Tm Rush Att%,Yr1 Tm Opp%,Yr1 EP,Yr1 Rush EP,Yr1 Rec EP,Yr1 Yds,Yr1 Tds,Yr1 Recs,Yr1 Rec Yds,Yr1 YAC,Draft Pick,Draft Year Age,BOA 15%,Total College Touches,Total College Yds,College Yd/G,Total College Dom,College YTMA Dom,Best College YTMA Conf Adj,Best College Adj YTMA,Avg College Adj YTMA,Best College Adj YTMA Over Conf,Avg College Adj YTMA Over Conf,Best College YTMPA,Avg College YTMPA,Best College YTMA,Ave College YTMA,Best College YTMA +/- Conf Avg,Avg College YTMA +/- Conf Avg,College Rush Dom,BMI,Fourty-Time,WaSS,Number of Top 5 Pos Finishes,Number of Top 12 Pos Finishes,Number of Top 24 Pos Finishes,Yr 2 PPG
Jonathan Taylor,IND,2020,6,10,1,15,273,1.55,16.99,0.092261905,254.8,0.48,41,0.08,232,0.53,0.29,212.1,146.4,65.4,1169,11,36,299,367,41,21,18,960,6521,159.0487805,0.39278853,2.528612337,1.445308632,2.72204126,2.548670416,1.622400152,1.449029309,2.608799049,2.423633296,2.608799049,2.423633296,1.445308632,1.260142879,0.602385332,32.42732938,4.39,121.6971349,0,1,1,
James Robinson,JAC,2020,7,7,1,14,300,1.70,18.03,0.146978508,252.4,0.7,60,0.12,240,0.79,0.37,218.8,130,88.7,1070,7,49,344,387,329,22,,855,4890,106.3,0.46,,,,,,,,,,,,,,32.3,4.64,94.5,0,1,1,
Antonio Gibson,WAS,2020,14,19,1,14,214,1.19,14.73,0.065068493,206.2,0.42,44,0.09,170,0.48,0.25,167.6,106.5,61,795,11,36,247,292,66,22,21,77,1203,63.31578947,0.172624706,1.176972281,-0.036703726,1.960554371,1.960554371,0.919593245,0.919593245,1.176972281,0.638996345,1.176972281,0.729914712,-0.036703726,-0.483761295,0.136055485,30.08070084,4.39,122.7741007,0,0,1,
D'Andre Swift,DET,2020,17,18,1,13,171,1.14,14.91,0.126734694,193.8,0.46,57,0.13,114,0.38,0.23,164.7,79.2,85.8,521,8,46,357,321,35,21,19,513,3551,82.58139535,0.225892873,1.574094402,0.606349214,1.852311161,1.548480587,0.822492596,0.801935259,1.574094402,1.303636721,1.574094402,1.303636721,0.606349214,0.335891533,0.403914148,32.23419726,4.48,105.2576817,0,0,1,
Clyde Edwards-Helaire,KC,2020,22,25,1,13,236,1.29,13.54,0.071749084,176,0.59,55,0.11,181,0.53,0.28,188.2,109.8,78.3,803,4,36,297,296,32,21,20,436,2652,69.78947368,0.287290906,1.759660697,0.945420397,2.1866164,1.052046421,1.112728633,1.112728633,1.759660697,0.871318852,1.759660697,0.879030851,0.945420397,0.06479055,0.528785489,32.42048921,4.6,92.46322019,0,0,1,
J.K. Dobbins,BAL,2020,24,33,1,15,158,1.03,11.23,0.041109969,168.5,0.47,24,0.06,134,0.25,0.18,119.2,83.9,35.4,805,9,18,120,129,55,21,18,796,5104,121.5238095,0.303512282,2.184466019,1.157401949,2.424271845,1.848226206,1.442644739,0.8665991,2.184466019,1.642550325,2.184466019,1.642550325,1.157401949,0.615486254,0.552667887,30.86362464,,,0,0,1,
Cam Akers,LAR,2020,45,54,2,13,159,0.87,7.98,0.054475198,103.8,0.29,14,0.03,145,0.37,0.19,113.4,91,22.7,625,2,11,123,56,52,21,18,655,3361,93.36111111,0.357929496,1.538202247,0.873941853,2.116649642,1.638633299,1.196780704,0.718764361,1.538202247,1.337997532,1.884269663,1.473010384,0.873941853,0.462682575,0.610403201,31.13597556,4.47,108.7075322,0,0,0,
Zack Moss,BUF,2020,49,55,3,13,130,0.70,7.82,0.032395288,101.6,0.46,18,0.04,112,0.33,0.16,101.7,72.5,29.2,481,4,14,95,75,86,22,19,769,4698,104.4,0.299324192,2.054669704,0.846166989,2.688628001,1.730528552,1.588590484,1.033271496,2.054669704,1.311093415,2.21272122,1.541643917,0.846166989,0.175089686,0.524473805,32.93104447,4.65,95.39443654,0,0,0,
Joshua Kelley,LAC,2020,58,67,4,13,135,0.56,6.55,0.032069339,85.2,0.3,24,0.05,111,0.29,0.15,103.3,68.7,34.3,354,2,23,148,173,112,22,20,481,2496,113.4545455,0.324447947,1.447969732,0.516312903,2.135926573,1.706133064,1.035889057,0.606095547,1.725961538,1.447969732,1.882867133,1.579603344,0.516312903,0.213049113,0.648650537,29.56773024,4.49,104.3231021,0,0,0,
Salvon Ahmed,MIA,2020,64,32,2,6,89,1.06,11.50,0.015474378,69,0.54,14,0.07,75,0.47,0.24,72,50.3,21.6,319,3,11,61,41,329,23,22,403,2347,60.17948718,0.254171492,1.301886792,0.478773158,1.517688679,1.066520983,0.379714407,0.379714407,1.301886792,0.902573759,1.410377358,0.938737281,0.478773158,0.00713308,0.495068648,27.47567386,4.62,86.48251674,0,0,0,
DeeJay Dallas,SEA,2020,73,61,3,8,54,0.45,7.11,0.03864841,56.9,0.26,20,0.07,34,0.16,0.11,56.2,28.4,27.9,108,2,17,111,110,144,21,20,293,1844,55.87878788,0.278234707,1.006038647,0.543267848,1.527657005,1.046792452,0.528760115,0.528760115,1.006038647,0.751753439,1.307850242,0.889857303,0.543267848,0.12527491,0.497820769,31.13597556,4.58,98.6342661,0,0,0,
Lamical Perine,NYJ,2020,77,77,3,10,79,0.53,5.24,0.020937188,52.4,0.31,15,0.05,64,0.25,0.14,53.6,32.9,20.7,231,2,11,63,0,120,22,19,565,3159,63.18,0.23950996,1.148108385,0.223642372,1.413427562,1.176375052,0.383608997,0.374263637,1.19138756,0.972362167,1.19138756,0.972362167,0.223642372,0.004616979,0.410233029,30.12561194,4.62,94.82347013,0,0,0,
AJ Dillon,GB,2020,83,87,3,9,48,0.48,4.48,0.004892824,40.3,0.17,2,0.01,46,0.19,0.09,27,24.1,2.8,242,2,2,21,16,62,22,20,558,2988,135.8181818,0.291944685,1.993637328,1.149445962,2.38379286,2.031290369,1.463923922,1.111421431,1.993637328,1.696313613,2.159773772,1.919280825,1.149445962,0.908953016,0.531102263,32.58742591,4.53,117.3097585,0,0,0,
JaMycal Hasty,SF,2020,91,88,5,7,47,0.41,4.44,0.007660167,31.1,0.2,8,0.03,39,0.2,0.11,35.7,24.4,11.2,148,1,7,33,0,329,23,,462,2457,54.6,0.139308176,0.882480958,0.140230403,1.082698585,0.893683434,0.097604963,0.097604963,0.882480958,0.644358454,0.882480958,0.746058722,0.140230403,0.003808167,0.252853261,31.16986056,4.55,95.66173869,0,0,0,
Ke'Shawn Vaughn,TB,2020,99,92,3,6,36,0.38,4.22,0.01904912,25.3,0.24,10,0.05,26,0.17,0.1,28.8,14.5,14.4,109,0,5,34,23,76,23,18,638,3944,85.73913043,0.462172762,1.797783934,0.875616224,2.171745152,1.546812031,1.141926587,0.780889647,1.797783934,1.255755837,1.843361412,1.325834073,0.875616224,0.260216271,0.808938547,30.70552428,4.51,103.4516928,0,0,0,
Anthony McFarland,PIT,2020,102,119,4,11,43,0.24,2.06,0.013138686,22.7,0.11,10,0.02,33,0.12,0.06,31.9,16,16.2,113,0,6,54,47,124,22,21,262,1774,77.13043478,0.195271369,1.232466539,0.456436647,1.483500717,1.36822733,0.501873611,0.386600224,1.483500717,1.232466539,1.483500717,1.277077101,0.456436647,0.25001303,0.348953547,31.62600486,4.44,107.0437833,0,0,0,
Antonio Williams,BUF,2020,103,4,1,1,13,1.32,21.30,0.004188482,21.3,,1,0.03,12,0.48,0.21,10.7,9.2,1.5,63,2,1,20,0,329,22,,212,1247,44.53571429,0.117971076,0.57323716,0.211657998,1.177638015,0.697355484,0.178741125,0.178741125,0.798742138,0.478057577,0.976240391,0.630222943,0.211657998,-0.221853343,0.223989598,,,,0,0,0,
Darrynton Evans,TEN,2020,119,105,3,5,18,0.26,3.22,0.022212185,16.1,0.12,4,0.03,14,0.08,0.06,21,13.5,7.5,54,0,2,27,29,93,22,20,515,3169,81.25641026,0.304228495,1.785106383,0.353819573,1.995744681,1.320675541,0.878034105,0.730786765,1.785106383,1.207417084,1.8,1.219177314,0.353819573,0.063189714,0.490066999,29.12720294,4.41,107.3424926,0,0,0,
J.J. Taylor,NE,2020,127,118,5,6,25,0.32,2.07,0.001283697,12.4,0.15,2,0.01,23,0.13,0.07,15.4,12.3,2.9,110,0,1,4,8,329,23,21,635,3685,92.125,0.224346258,1.485065453,0.434595195,1.954022989,1.546188049,0.853985472,0.697049735,1.801149425,1.086963471,1.801149425,1.280197898,0.434595195,-0.086356332,0.415209523,30.78533181,4.61,81.92152391,0,0,0,
Jonathan Ward,ARI,2020,133,94,3,2,1,0.08,4.05,0.021931481,8.1,0.04,1,0.02,0,0,0.01,2.8,0,2.8,0,0,1,11,0,329,22,19,555,3343,79.5952381,0.29728042,1.585153765,0.977869062,2.194178204,1.27089483,1.214612518,1.195459749,1.639956092,0.917468958,1.785410011,1.068988987,0.977869062,0.261448039,0.494982505,,,,0,0,0,
Jason Huntley,PHI,2020,146,142,5,4,7,0.07,0.73,0,2.9,0.05,2,0.01,5,0.05,0.03,5.3,2.6,2.7,19,0,1,0,0,172,22,20,500,3281,71.32608696,0.353584698,1.563414634,0.620485034,1.797560976,1.266756082,0.77607075,0.593130355,1.563414634,0.93251058,1.563414634,0.958704347,0.620485034,0.199438573,0.603735207,,,,0,0,0,
